ISBN	title	edition	author
26515628	 Health:  A Guide to Wellness	1	Chinua Achebe
30020786	 Principles of Instrumental Analysis	1	Peter Ackroyd
30350840	 Business Research Methods With Infotrac	1	Douglas Adams
70109109	 Fundamental Methods of Mathematical Economics	1	Chimamanda Ngozi Adichie
70311366	 Introduction to Manufacturing Processes	1	Aaron Akinyemi
70350485	 An Introduction to Mechanics	1	Alexandra Harris
007035958X	 Power System Stability and Control	1	Monica Ali
70393605	 Project Management for Engineering and Construction	1	Dante Alighieri
70418780	 Wastewater Engineering:  Treatment and Reuse	1	Alistair Cooke
007054235X	 Principles of Mathematical Analysis	1	Isabel Allende
72294337	 Financial Markets and Corporate Strategy	1	Kingsley Amis
72299908	 Manufacturing Planning and Control for Supply Chain Management	1	Martin Amis
007231592X	 Biochemistry:  The Molecular Basis of Life	1	Maya Angelou
72321113	 Digital Communications	1	Annie Proulx
72339705	 Risk Management and Insurance	1	Jeffrey Archer
72345535	 Environmental Biotechnology:  Principles and Applications	1	Philip Ardagh
72348984	 Gerald D. Schmidt & Larry S. Roberts' Foundations of Parasitology	1	Simon Armitage
72350539	 Principles of Environmental Engineering and Science	1	Isaac Asimov
72380322	 Design of Analog Cmos Integrated Circuits	1	Åsne Seierstad
72385790	 An Introduction to Biological Evolution	1	Diana Athill
72392665	 Plant Design and Economics for Chemical Engineers	1	Kate Atkinson
72398876	 Management of a Sales Force	1	Margaret Atwood
72402318	 Viscious Fluid Flow	1	WH Auden
72406550	 Heat Transfer	1	Jane Austen
72431881	 Introduction to Transportation Engineering	1	Paul Auster
72432020	 Fluid Mechanics With Engineering Applications	1	Julian Baggini
72437316	 Biology	1	Paul Bailey
72448482	 Concepts of Modern Physics	1	Beryl Bainbridge
72452692	" Money, Banking And Financial Markets"	1	James Baldwin
72460539	 Cmos Digital Integrated Circuits:  Analysis and Design	1	JG Ballard
007246352X	 Communication Networks:  Fundamental Concepts and Key Architectures	1	Iain Banks
007246464X	 Biology	1	John Banville
72465239	 Electric Machinery Fundamentals	1	Clive Barker
72465638	 Database Management Systems	1	Pat Barker
72466855	 Introduction To The Finite Element Method	1	Nicola Barker
72467509	 Introduction to Computing Systems:  From Bits and Gates to C and Beyond	1	Julian Barnes
72468246	" Methods, Standards, and Work Design"	1	Sebastian Barry
007246836X	 Introduction to Probability and Statistics:  Principles and Applications for Engineering and the Computing System	1	Donald Barthelme
72471468	 Product Design and Development	1	Belinda Bauer
72478527	 Basic Econometrics	1	Nina Bawden
72492953	 Music:  An Appreciation	1	Mary Beard
72499389	 Fundamentals of Digital Logic with VHDL Design	1	Simone de Beauvoir
72505036	 Microelectronic Circuit Design	1	Samuel Beckett
72525231	 Basic Marketing:  A Global-Managerial Approach	1	Antony Beevor
72528303	" Vertebrates:  Comparative Anatomy, Function, Evolution"	1	Saul Bellow
72534958	 Physical Chemistry	1	Benjamin Markovits
72819359	" Economics:  Principles, Problems, and Policies"	1	George Bernard Shaw
72823402	 Macroeconomics	1	Louis de Bernières
72827416	 Vander's Human Physiology:  The Mechanisms of Body Function	1	John Betjeman
72828803	 Marketing	1	Maeve Binchy
72829206	 Corporate Finance	1	Carol Birch
72830085	 Cost Management:  Strategies for Business Decisions	1	Quentin Blake
72830875	 Marketing Research:  Within A Changing Information Environment	1	William Blake
